round,num_users,frac,local_ep,local_bs,bs,lr,momentum,warmup_epoch,model,ks,in_ch,dataset,nclass,nsample_pc,noniid,pruning_percent,pruning_target,dist_thresh_fc,acc_thresh,seed,algorithm,avg_final_tacc,personalized_parameters_percentage,corr_label_network_similarity,date,delta_r,alpha,regrowth_param,parameter_to_multiply_avg,lambda_value
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,fedspa,tensor(52.2062),"[0.0, 0.19247606019151844, 0.308878780220706, 0.03356237921408632, 0.0]",0.034276396431429455,2022-07-27
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(71.4563),"[0.05673913043478261, 0.05595890909416925, 0.06487808296094055, 0.0645938395671957, 0.0578210904741517]",0.05239343322239048,2022-07-27
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(74.1125),"[0.010228974860462306, 0.03118061338294107, 0.022744959387895506, 0.011599916921345358, 0.008967189119034585]",0.5067418295777012,2022-07-27
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,fedspa,tensor(59.4312),"[0.0006912442396313364, 0.049521203830369356, 0.08055766152809365, 0.0216448357311574, 0.0]",0.13467004690536266,2022-07-28
1000,100,0.1,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(73.6650),"[0.018211379375137948, 0.015192020193765305, 0.017355499799880637, 0.017932145596664874, 0.01614970245118221]",0.013290080508184874,2022-07-28
1000,100,0.1,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(74.8163),"[0.008108759524659557, 0.01753904747791344, 0.01238133872258689, 0.006420253106404749, 0.004413340904125608]",0.007802189928161807,2022-07-28
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(74.6188),"[0.009296984989448288, 0.020447759652013342, 0.011734321052053489, 0.007323032437064172, 0.0061692314647034865]",0.1644907518330942,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(73.8844),"[0.007194337507526452, 0.024883068310126804, 0.011085020728356147, 0.008620213583706935, 0.007313414062586615]",0.2017643295439224,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(75.0563),"[0.009580219472318893, 0.03430961234965213, 0.016468164515881553, 0.010259077161469394, 0.00932212274039414]",0.213803975719451,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(73.4469),"[0.012419332566171712, 0.029332561546712897, 0.014303668082901474, 0.008864052276375213, 0.00816803572406374]",0.12349170389853345,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(73.9719),"[0.017488655316311587, 0.025555343379469558, 0.012492896040689299, 0.008627812460797236, 0.008692637100733026]",0.03809536636262274,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(74.3031),"[0.012127677231474208, 0.02611191576074241, 0.01027418236970867, 0.007881876427722145, 0.0071321324219672955]",0.07734468207502541,2022-07-29
100,20,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(71.8594),"[0.010974464423819767, 0.025643271592697643, 0.009337741387841103, 0.007176175164741056, 0.010119047651594973]",0.2540743315147696,2022-07-29
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(68.3000),"[0.012897302535945777, 0.025825476946195514, 0.008618212147302561, 0.007024435268656995, 0.006773465884185305]",0.2510552158434892,2022-07-29
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(68.4062),"[0.027245321789000278, 0.040649331891411435, 0.027160925982340472, 0.01473364084310676, 0.010094802521857758]",0.6684156503784063,2022-07-29
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(68.0875),"[0.01076923076923077, 0.01659634317862166, 0.004684873949579832, 0.005540720961281708, 0.013877551020408163]",0.05782390710917241,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(74.0406),"[0.012291834875210034, 0.021073480710628926, 0.013868895797002775, 0.0087246284808855, 0.007741184080514089]",0.10174183023954099,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(73.6969),"[0.0, 0.0, 0.0, 0.0, 0.0]",0.24590110319128103,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(75.8000),"[0.0, 0.0, 0.0, 0.0, 0.0]",0.2613533294963152,2022-07-29
200,20,0.5,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(75.1594),"[0.0, 0.0, 0.0, 0.0, 0.0]",0.24752001265469542,2022-07-29
150,15,0.7,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(71.1375),"[0.007692307692307693, 0.009563994374120957, 0.0028057889822595697, 0.0026924788607031597, 0.012244897959183675]",-0.0931939101720318,2022-07-29,20,0.1,0.5,0.8,1
150,15,0.7,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(73.8500),"[0.0047109816037528935, 0.017466464817494073, 0.012305417374237128, 0.0062524908703267225, 0.004843891447357764]",0.14459021129420166,2022-07-29,20,0.1,0.5,0.8,1
150,15,0.7,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(71.7000),"[0.010559563078101302, 0.022017710407447676, 0.011071418077274648, 0.007444718418051128, 0.008514197833198086]",0.2163274629237533,2022-07-29,20,0.2,0.5,0.8,1
150,15,0.7,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(72.6333),"[0.0055169404607537335, 0.015571262893289932, 0.007831699396487318, 0.004169397979818057, 0.0027618572144760783]",0.25514372852203154,2022-07-29,10,0.1,0.5,0.8,1
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(67.2937),"[0.015, 0.017522500736589893, 0.005491321166910098, 0.004725321202881638, 0.016695895088073252]",0.12979794833647382,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(66.5250),"[0.010322046684642918, 0.03284237278048542, 0.027712532606480555, 0.012599552423745433, 0.011923868041309552]",0.19585487765188692,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(72.8812),"[0.014615384615384617, 0.016174402250351615, 0.0034383753501400563, 0.0033711615487316423, 0.01387755102040816]",0.3141626822996822,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(71.0750),"[0.011125457138959757, 0.02791384588283155, 0.021394585814404066, 0.011348707243566828, 0.005622068909798536]",0.4374649508947972,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,5,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(71.9437),"[0.016153846153846154, 0.015471167369901551, 0.0038865546218487396, 0.004205607476635514, 0.01183673469387755]",0.26330798122863414,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,sub_fedavg,tensor(68.3750),"[0.018461538461538463, 0.01476793248945148, 0.003949579831932773, 0.003938584779706275, 0.007346938775510204]",-0.14879805636018922,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(69.5125),"[0.0072092542558839096, 0.021179285505728382, 0.017446757601891193, 0.006784673712506334, 0.004445647191951798]",-0.04558823702755967,2022-07-30,20,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(68.9437),"[0.00399576947858604, 0.01167443454092045, 0.004387754853119494, 0.0030646780133005117, 0.0036663352042804985]",0.4015873914472349,2022-07-30,20,0.2,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(70.1000),"[0.005495502322946698, 0.015579733416525365, 0.004974676355595657, 0.0032038333480802527, 0.0035455689106627815]",0.30272267890156096,2022-07-30,10,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,2,sub_fedavg,tensor(66.9750),"[0.015384615384615385, 0.02025316455696203, 0.005469187675070029, 0.005507343124165554, 0.008979591836734694]",-0.11874435469211717,2022-07-30,10,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,3,sub_fedavg,tensor(69.9437),"[0.0748494983277592, 0.060753199461215636, 0.07642548034838935, 0.07824927844113795, 0.07004709576138148]",-0.11398049125453737,2022-07-30,10,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,2,ours,tensor(68.0312),"[0.0165038340102134, 0.030002463310657673, 0.021000446108897425, 0.010558760750619452, 0.005781637236856464]",0.04558453505022425,2022-07-30,10,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,3,ours,tensor(70.3063),"[0.007017987358329482, 0.01251702252982272, 0.008078362959686683, 0.0047213445562617655, 0.0036203008352454144]",-0.03194368362069424,2022-07-30,10,0.1,0.5,0.8,1
100,10,1.0,10,32,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,20.0,70,0.0001,50,1,ours,tensor(69.7812),"[0.008656214740647828, 0.01712110976059167, 0.005963715980681457, 0.005221867008353692, 0.004486968447285637]",-0.014549868164697402,2022-07-30,20,0.2,0.5,0.8,1
